order_id,customer_id,country,signup_month,order_date,channel,revenue
5000,1000,IN,2026-02,2026-06-05,Organic Search,150.31
5001,1001,UK,2025-10,2025-11-01,Organic Search,201.88
5002,1001,UK,2025-10,2026-01-23,Paid Search,184.35
5003,1001,UK,2025-10,2026-06-14,Paid Search,317.66
5004,1002,IN,2025-11,2026-06-04,Email,64.5
5005,1002,IN,2025-11,2026-03-17,Affiliate,143.48
5006,1002,IN,2025-11,2026-06-16,Paid Search,184.48
5007,1002,IN,2025-11,2026-05-07,Organic Search,171.49
5008,1002,IN,2025-11,2026-01-28,Paid Search,251.35
5009,1003,IN,2026-03,2026-05-26,Paid Social,265.81
5010,1003,IN,2026-03,2026-05-24,Paid Social,195.26
5011,1003,IN,2026-03,2026-06-28,Paid Search,180.65
5012,1003,IN,2026-03,2026-05-11,Email,182.12
5013,1003,IN,2026-03,2026-06-11,Organic Search,314.19
5014,1004,UK,2025-10,2026-04-08,Organic Search,142.05
5015,1005,US,2025-08,2026-03-23,Organic Search,133.13
5016,1005,US,2025-08,2026-06-26,Organic Search,314.21
5017,1006,DE,2025-10,2025-10-05,Paid Social,196.23
5018,1006,DE,2025-10,2025-11-28,Organic Search,48.11
5019,1007,US,2025-12,2025-12-24,Paid Search,281.02
5020,1007,US,2025-12,2026-01-03,Paid Social,310.7
5021,1007,US,2025-12,2026-02-20,Email,214.25
5022,1007,US,2025-12,2026-06-11,Organic Search,277.52
5023,1007,US,2025-12,2026-03-11,Email,286.01
5024,1008,IN,2025-08,2026-04-02,Email,88.9
5025,1008,IN,2025-08,2026-06-10,Organic Search,243.52
5026,1009,US,2025-10,2025-11-25,Email,281.52
5027,1009,US,2025-10,2026-05-06,Email,290.83
5028,1010,UK,2025-09,2025-09-10,Paid Social,148.07
5029,1011,DE,2025-08,2026-02-19,Email,72.38
5030,1012,UK,2025-12,2026-04-28,Paid Social,224.31
5031,1013,CA,2026-01,2026-05-05,Paid Search,210.65
5032,1013,CA,2026-01,2026-04-09,Email,289.47
5033,1014,US,2026-01,2026-03-22,Email,40.31
5034,1014,US,2026-01,2026-03-19,Paid Social,308.53
5035,1015,UK,2026-04,2026-05-28,Paid Social,319.81
5036,1015,UK,2026-04,2026-05-04,Paid Search,190.72
5037,1015,UK,2026-04,2026-06-10,Organic Search,107.16
5038,1016,AU,2025-07,2026-05-13,Paid Search,188.91
5039,1016,AU,2025-07,2026-05-25,Affiliate,32.81
5040,1016,AU,2025-07,2026-04-24,Paid Social,291.05
5041,1016,AU,2025-07,2025-11-25,Affiliate,201.33
5042,1016,AU,2025-07,2025-12-08,Email,205.51
5043,1016,AU,2025-07,2026-05-25,Affiliate,217.07
